unique_id,ds,y,unit_price
german_bakery_item_1,1/1/2024,73,1.93
german_bakery_item_1,1/2/2024,62,1.73
german_bakery_item_1,1/3/2024,59,1.67
german_bakery_item_1,1/4/2024,46,4.82
german_bakery_item_1,1/5/2024,70,3.87
german_bakery_item_1,1/6/2024,55,4.19
german_bakery_item_1,1/7/2024,84,2.43
german_bakery_item_1,1/8/2024,27,3.92
german_bakery_item_1,1/9/2024,61,3.65
german_bakery_item_1,1/10/2024,30,2.67
german_bakery_item_1,1/11/2024,93,3.26
german_bakery_item_1,1/12/2024,34,1.6
german_bakery_item_1,1/13/2024,89,2.59
german_bakery_item_1,1/14/2024,93,2.69
german_bakery_item_1,1/15/2024,54,1.89
german_bakery_item_1,1/16/2024,94,4.38
german_bakery_item_1,1/17/2024,32,3.09
german_bakery_item_1,1/18/2024,71,4.21
german_bakery_item_1,1/19/2024,77,2.97
german_bakery_item_1,1/20/2024,64,2.26
german_bakery_item_1,1/21/2024,37,4.01
german_bakery_item_1,1/22/2024,90,1.82
german_bakery_item_1,1/23/2024,73,3.69
german_bakery_item_1,1/24/2024,26,4.37
german_bakery_item_1,1/25/2024,35,4.83
german_bakery_item_1,1/26/2024,48,3.21
german_bakery_item_1,1/27/2024,70,3.48
german_bakery_item_1,1/28/2024,91,4.64
german_bakery_item_1,1/29/2024,43,1.75
german_bakery_item_1,1/30/2024,20,4.37
german_bakery_item_1,1/31/2024,77,4.23
german_bakery_item_1,2/1/2024,42,1.8
german_bakery_item_1,2/2/2024,21,2.32
german_bakery_item_1,2/3/2024,75,3.03
german_bakery_item_1,2/4/2024,23,2.41
german_bakery_item_1,2/5/2024,36,2.94
german_bakery_item_1,2/6/2024,96,2.79
german_bakery_item_1,2/7/2024,80,2.16
german_bakery_item_1,2/8/2024,96,2.1
german_bakery_item_1,2/9/2024,58,2.12
german_bakery_item_1,2/10/2024,99,2.33
german_bakery_item_1,2/11/2024,40,3.43
german_bakery_item_1,2/12/2024,46,4.75
german_bakery_item_1,2/13/2024,86,3.32
german_bakery_item_1,2/14/2024,54,4.56
german_bakery_item_1,2/15/2024,57,4.1
german_bakery_item_1,2/16/2024,29,2.03
german_bakery_item_1,2/17/2024,43,2.75
german_bakery_item_1,2/18/2024,98,1.55
german_bakery_item_1,2/19/2024,42,2.36
german_bakery_item_1,2/20/2024,71,1.91
german_bakery_item_1,2/21/2024,25,2.41
german_bakery_item_1,2/22/2024,64,1.98
german_bakery_item_1,2/23/2024,93,4.91
german_bakery_item_1,2/24/2024,75,1.73
german_bakery_item_1,2/25/2024,37,3.6
german_bakery_item_1,2/26/2024,59,4.29
german_bakery_item_1,2/27/2024,75,1.61
german_bakery_item_1,2/28/2024,89,2.81
german_bakery_item_1,2/29/2024,42,3.22
german_bakery_item_1,3/1/2024,32,4.42
german_bakery_item_1,3/2/2024,97,2.93
german_bakery_item_1,3/3/2024,86,2.43
german_bakery_item_1,3/4/2024,30,2.41
german_bakery_item_1,3/5/2024,29,4.2
german_bakery_item_1,3/6/2024,94,3.42
german_bakery_item_1,3/7/2024,29,2.64
german_bakery_item_1,3/8/2024,24,4.44
german_bakery_item_1,3/9/2024,80,1.63
german_bakery_item_1,3/10/2024,33,1.86
german_bakery_item_1,3/11/2024,48,1.89
german_bakery_item_1,3/12/2024,88,4.24
german_bakery_item_1,3/13/2024,69,4.86
german_bakery_item_1,3/14/2024,49,3.74
german_bakery_item_1,3/15/2024,78,4.54
german_bakery_item_1,3/16/2024,52,4.85
german_bakery_item_1,3/17/2024,96,2.4
german_bakery_item_1,3/18/2024,76,2.07
german_bakery_item_1,3/19/2024,65,1.62
german_bakery_item_1,3/20/2024,68,2.05
german_bakery_item_1,3/21/2024,97,3.16
german_bakery_item_1,3/22/2024,49,4.16
german_bakery_item_1,3/23/2024,68,3.5
german_bakery_item_1,3/24/2024,30,3.59
german_bakery_item_1,3/25/2024,95,2.08
german_bakery_item_1,3/26/2024,86,1.53
german_bakery_item_1,3/27/2024,59,3.85
german_bakery_item_1,3/28/2024,64,1.89
german_bakery_item_1,3/29/2024,72,1.7
german_bakery_item_1,3/30/2024,98,1.59
german_bakery_item_1,3/31/2024,22,4.07
german_bakery_item_1,4/1/2024,73,1.92
german_bakery_item_1,4/2/2024,76,2.24
german_bakery_item_1,4/3/2024,88,2.61
german_bakery_item_1,4/4/2024,37,3.02
german_bakery_item_1,4/5/2024,67,1.65
german_bakery_item_1,4/6/2024,81,3.85
german_bakery_item_1,4/7/2024,47,3.92
german_bakery_item_1,4/8/2024,40,2.01
german_bakery_item_1,4/9/2024,44,3.74
german_bakery_item_1,4/10/2024,67,4
german_bakery_item_1,4/11/2024,47,4.32
german_bakery_item_1,4/12/2024,74,2.02
german_bakery_item_1,4/13/2024,28,2.89
german_bakery_item_1,4/14/2024,68,3.69
german_bakery_item_1,4/15/2024,98,3.68
german_bakery_item_1,4/16/2024,37,3.17
german_bakery_item_1,4/17/2024,54,4.3
german_bakery_item_1,4/18/2024,78,4.5
german_bakery_item_1,4/19/2024,37,4.6
german_bakery_item_1,4/20/2024,71,2.16
german_bakery_item_1,4/21/2024,28,4.88
german_bakery_item_1,4/22/2024,66,2.11
german_bakery_item_1,4/23/2024,47,4.3
german_bakery_item_1,4/24/2024,55,2.73
german_bakery_item_1,4/25/2024,78,4.53
german_bakery_item_1,4/26/2024,93,3.31
german_bakery_item_1,4/27/2024,78,2.03
german_bakery_item_1,4/28/2024,34,2.69
german_bakery_item_1,4/29/2024,67,3.35
german_bakery_item_1,4/30/2024,65,4.1
german_bakery_item_1,5/1/2024,56,4.86
german_bakery_item_1,5/2/2024,92,3.34
german_bakery_item_1,5/3/2024,74,4.09
german_bakery_item_1,5/4/2024,27,3.7
german_bakery_item_1,5/5/2024,78,1.93
german_bakery_item_1,5/6/2024,67,2.19
german_bakery_item_1,5/7/2024,77,1.98
german_bakery_item_1,5/8/2024,99,2.89
german_bakery_item_1,5/9/2024,64,3.57
german_bakery_item_1,5/10/2024,67,4.37
